,Date,High,Low,Open,Price
2009,2012-08-06,"1,615.61","1,602.85","1,605.00","1,611.00"
2010,2012-08-03,"1,606.91","1,586.74","1,590.28","1,604.30"
2011,2012-08-02,"1,614.90","1,585.10","1,599.25","1,590.35"
2012,2012-08-01,"1,618.90","1,592.35","1,599.25","1,599.20"
2013,2012-07-31,"1,628.31","1,610.95","1,621.30","1,613.90"
2014,2012-07-30,"1,626.70","1,614.85","1,625.10","1,621.10"
2015,2012-07-27,"1,629.60","1,611.99","1,616.14","1,623.28"
2016,2012-07-26,"1,622.02","1,601.50","1,605.00","1,616.20"
2017,2012-07-25,"1,611.41","1,579.94","1,581.44","1,605.38"
2018,2012-07-24,"1,584.66","1,568.35","1,580.40","1,580.50"
2019,2012-07-23,"1,584.26","1,564.49","1,582.64","1,576.90"
2020,2012-07-20,"1,587.91","1,574.04","1,582.01","1,583.63"
2021,2012-07-19,"1,593.00","1,573.64","1,573.89","1,582.05"
2022,2012-07-18,"1,587.16","1,568.84","1,584.29","1,573.80"
2023,2012-07-17,"1,600.50","1,572.66","1,591.19","1,582.75"
2024,2012-07-16,"1,595.30","1,578.79","1,591.39","1,589.35"
2025,2012-07-13,"1,597.11","1,566.25","1,571.20","1,589.05"
2026,2012-07-12,"1,578.36","1,554.95","1,576.85","1,572.40"
2027,2012-07-11,"1,583.41","1,565.41","1,565.41","1,576.90"
2028,2012-07-10,"1,602.90","1,565.89","1,591.16","1,566.50"
2029,2012-07-09,"1,593.30","1,576.39","1,580.84","1,587.15"
2030,2012-07-06,"1,610.00","1,576.70","1,604.95","1,582.90"
2031,2012-07-05,"1,625.80","1,598.89","1,617.34","1,604.75"
2032,2012-07-04,"1,620.59","1,611.94","1,617.24","1,615.63"
2033,2012-07-03,"1,626.70","1,596.59","1,598.69","1,616.65"
2034,2012-07-02,"1,602.51","1,587.45","1,599.30","1,596.35"
2035,2012-06-29,"1,607.19","1,550.94","1,551.39","1,598.60"
2036,2012-06-28,"1,579.31","1,547.85","1,573.61","1,551.90"
2037,2012-06-27,"1,581.91","1,563.15","1,572.50","1,574.30"
2038,2012-06-26,"1,587.31","1,567.95","1,583.76","1,572.15"
2039,2012-06-25,"1,588.51","1,566.35","1,572.00","1,584.60"
2040,2012-06-22,"1,573.81","1,558.80","1,564.31","1,572.15"
2041,2012-06-21,"1,607.29","1,564.49","1,605.06","1,565.30"
2042,2012-06-20,"1,623.01","1,590.90","1,618.81","1,605.90"
2043,2012-06-19,"1,633.51","1,617.51","1,628.51","1,618.07"
2044,2012-06-18,"1,630.31","1,607.10","1,627.31","1,628.40"
2045,2012-06-15,"1,633.70","1,619.59","1,622.94","1,626.76"
2046,2012-06-14,"1,627.79","1,610.00","1,617.90","1,623.32"
2047,2012-06-13,"1,624.97","1,606.20","1,609.26","1,618.35"
2048,2012-06-12,"1,618.01","1,586.90","1,596.45","1,610.05"
2049,2012-06-11,"1,608.35","1,582.89","1,593.10","1,596.45"
2050,2012-06-08,"1,595.47","1,562.05","1,589.15","1,594.45"
2051,2012-06-07,"1,629.41","1,579.75","1,620.20","1,589.00"
2052,2012-06-06,"1,641.11","1,614.34","1,617.20","1,620.40"
2053,2012-06-05,"1,623.91","1,612.71","1,619.25","1,617.10"
2054,2012-06-04,"1,629.69","1,610.71","1,627.29","1,618.40"
2055,2012-06-01,"1,630.02","1,545.30","1,560.45","1,626.25"
2056,2012-05-31,"1,574.30","1,554.09","1,563.90","1,560.70"
2057,2012-05-30,"1,569.77","1,532.10","1,554.80","1,562.45"
2058,2012-05-29,"1,582.90","1,548.64","1,574.10","1,555.75"
2059,2012-05-28,"1,584.00","1,571.13","1,574.09","1,573.33"
2060,2012-05-25,"1,574.57","1,551.90","1,558.50","1,573.45"
2061,2012-05-24,"1,579.50","1,553.15","1,563.36","1,559.00"
2062,2012-05-23,"1,570.35","1,535.41","1,569.19","1,562.00"
2063,2012-05-22,"1,596.03","1,563.29","1,593.53","1,568.95"
2064,2012-05-21,"1,600.79","1,586.80","1,593.65","1,592.65"
2065,2012-05-18,"1,598.68","1,569.05","1,574.78","1,593.09"
2066,2012-05-17,"1,581.70","1,538.80","1,540.39","1,574.00"
2067,2012-05-16,"1,553.80","1,529.00","1,546.10","1,540.05"
2068,2012-05-15,"1,564.06","1,541.60","1,557.15","1,544.45"
2069,2012-05-14,"1,585.89","1,556.00","1,580.60","1,556.85"
2070,2012-05-11,"1,595.37","1,573.90","1,593.87","1,580.05"
2071,2012-05-10,"1,602.20","1,586.07","1,589.69","1,593.66"
2072,2012-05-09,"1,606.64","1,579.78","1,605.67","1,589.34"
2073,2012-05-08,"1,639.52","1,595.55","1,638.57","1,605.00"
2074,2012-05-07,"1,644.40","1,634.21","1,641.79","1,639.15"
2075,2012-05-04,"1,647.27","1,626.91","1,636.00","1,642.83"
2076,2012-05-03,"1,653.72","1,631.17","1,653.26","1,635.76"
2077,2012-05-02,"1,663.40","1,646.71","1,662.40","1,653.50"
2078,2012-05-01,"1,673.20","1,658.59","1,666.75","1,662.10"
2079,2012-04-30,"1,666.58","1,644.98","1,662.42","1,664.36"
2080,2012-04-27,"1,667.72","1,650.55","1,657.15","1,662.05"
